subject,rel,object,数据名称,服务地址
湘南区域,出露的地层,寒武系地层,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,锡矿山组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,佘田桥组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,棋梓桥组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,跳马涧组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,石炭系中上统壶天群,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,梓门桥组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,测水组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,石蹬子组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,石炭系下统岩关组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,二叠系上统龙潭组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,二叠系下统栖霞组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,震旦系上统灯影组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,震旦系下统江口组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,南华系天子地组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,白垩系神皇山组,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,第三系始新统－古新统,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,第四系,GMWDP_湖南省地质图1：150万,0acb1a8324e2405e8086518955e7e1c1
湘南区域,出露的地层,寒武系地层,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,锡矿山组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,佘田桥组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,棋梓桥组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,跳马涧组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,石炭系中上统壶天群,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,梓门桥组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,测水组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,石蹬子组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,石炭系下统岩关组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,二叠系上统龙潭组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,二叠系下统栖霞组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,震旦系上统灯影组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,震旦系下统江口组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,南华系天子地组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,白垩系神皇山组,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,第三系始新统－古新统,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,第四系,GMWDP_1：50万湖南省地质图,b2b91c0c15f94a55ab851b709fdf91c3
湘南区域,出露的地层,寒武系地层,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,锡矿山组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,佘田桥组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,棋梓桥组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,跳马涧组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,石炭系中上统壶天群,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,梓门桥组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,测水组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,石蹬子组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,石炭系下统岩关组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,二叠系上统龙潭组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,二叠系下统栖霞组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,震旦系上统灯影组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,震旦系下统江口组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,南华系天子地组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,白垩系神皇山组,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,第三系始新统－古新统,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,第四系,GMWDP_湖南基础地质图50万,37edb190bd234a0c92b5d4d3d450c6ef
湘南区域,出露的地层,寒武系地层,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,锡矿山组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,佘田桥组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,棋梓桥组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,跳马涧组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,石炭系中上统壶天群,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,梓门桥组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,测水组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,石蹬子组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,石炭系下统岩关组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系上统龙潭组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系下统孤峰组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
湘南区域,出露的地层,二叠系下统茅口组,GMWDP_地质图50万-湖南,edfb680051ea412e9e193d612b0cc789
